,Unnamed: 0,Unnamed: 0.1,글쎄요,보고싶어요,참여인원,평점,title,y,런타임,장르,개봉일,등급,개봉년도,개봉월
981,981,981,0,0,121,8.61,아랑 (Arang),0,97,['공포'],['2006.06.28'],15세,2006,6
982,982,982,6,12,16,3.88,아름다운 엄마,0,71,[''],[],,0,0
983,983,983,0,0,11,9.91,아름다운 유산,0,104,['드라마'],['2011.04.14'],전체,2011,4
984,984,984,0,0,17,9.76,아름다운 이별은 없다,0,90,"['공포', '스릴러']",['2013.08.22'],청소년,2013,8
985,985,985,0,0,11,8.27,아름답다 (Beautiful),0,87,['드라마'],['2008.02.14'],청소년,2008,2
986,986,986,0,0,203,9.67,아마존의 눈물,0,88,['다큐멘터리'],['2010.03.25'],15세,2010,3
987,987,987,0,0,25,7.56,아버지는 개다 (Father Is A Dog),0,97,['드라마'],['2012.04.26'],청소년,2012,4
988,988,988,0,0,40,9.05,"아버지와 마리와 나 (Like Father, Like Son)",0,110,['드라마'],['2008.06.12'],청소년,2008,6
989,989,989,8,163,32,9.31,아버지의 이메일 (My Father's Emails),0,90,"['다큐멘터리', '가족']",['2014.04.24'],12세,2014,4
990,990,990,0,0,91,8.19,아부의 왕 (Mr. Xxx-kisser),0,118,['코미디'],['2012.06.21'],15세,2012,6
991,991,991,0,0,30,9.6,아부지,0,100,['드라마'],['2009.07.16'],12세,2009,7
992,992,992,0,0,149,8.93,아빠가 여자를 좋아해,0,113,"['멜로/로맨스', '코미디']",['2010.01.14'],12세,2010,1
993,993,993,2,16,561,9.66,아빠가 필요해 (Wolf Daddy),0,10,"['가족', '판타지', '애니메이션']",[],전체,0,0
994,994,994,513,5211,1102,9.09,"아빠는 딸 (Daddy You, Daughter Me)",0,115,"['코미디', '드라마']",['2017.04.12'],12세,2017,4
995,995,995,442,3445,491,9.37,아빠를 빌려드립니다,1,112,['드라마'],['2014.11.20'],12세,2014,11
996,996,996,15,46,10,7.1,아빠친구 (Dad Friend),0,75,['멜로/로맨스'],['2016.08.18'],청소년,2016,8
997,997,997,4276,28898,695,8.32,아수라 (阿修羅),1,132,"['범죄', '액션']",['2016.09.28'],청소년,2016,9
998,998,998,0,0,51,7.82,아유레디? (ARE YOU READY?),0,87,['다큐멘터리'],['2013.09.26'],12세,2013,9
999,999,999,467,6377,458,9.31,아이 캔 스피크 (i Can Speak),1,119,['드라마'],['2017.09.21'],12세,2017,9
1000,1000,1000,18,34,14,2.14,아이돌 섹스 스캔들,0,60,['멜로/로맨스'],[],청소년,0,0
1001,1001,1001,0,0,585,9.35,아이들... (Children...),1,132,['범죄'],['2011.02.17'],15세,2011,2
1002,1002,1002,0,0,172,8.51,아이스케키 (Ice Bar),0,95,"['가족', '드라마']",['2006.08.24'],전체,2006,8
1003,1003,1003,3,120,10,9.8,아이엠호프맨 (I Am Hopeman),0,77,['다큐멘터리'],['2017.11.16'],,2017,11
1004,1004,1004,156,362,14,8.29,아일랜드 - 시간을 훔치는 섬 (Island),0,107,"['미스터리', '스릴러']",['2015.11.26'],15세,2015,11
1005,1005,1005,0,0,57,9.58,아주 특별한 손님 (Ad-Lib Night),0,99,['드라마'],['2006.11.30'],12세,2006,11
1006,1006,1006,0,0,131,8.5,아치와 씨팍 (Aachi & Ssipak),0,90,"['애니메이션', '코미디']",['2006.06.28'],청소년,2006,6
1007,1007,1007,50,354,10,9,아카이브의 유령들 (Phantoms of the Archive),0,33,['드라마'],[],,0,0
1008,1008,1008,0,0,267,8.69,아티스트 봉만대 (Playboy BONG),1,101,['코미디'],['2013.08.29'],청소년,2013,8
1009,1009,1009,74,816,37,9.32,아티스트: 다시 태어나다 (The Artist: Reborn),0,96,['드라마'],['2017.03.09'],15세,2017,3
1010,1010,1010,0,0,39,8.9,아홉살 인생 (When I Turned Nine),0,105,['드라마'],['2004.03.26'],전체,2004,3
1011,1011,1011,905,3562,274,7.46,악녀 (The Villainess),0,123,['액션'],['2017.06.08'],청소년,2017,6
1012,1012,1012,10,100,10,9.9,악사들 (Highway Stars),0,86,"['드라마', '다큐멘터리']",['2014.12.04'],15세,2014,12
1013,1013,1013,582,5113,235,8.45,악의 연대기 (The Chronicles of Evil),1,102,"['범죄', '스릴러']",['2015.05.14'],15세,2015,5
1014,1014,1014,0,0,26,8.96,악인은 너무 많다 (Too Many Villains),0,75,['느와르'],['2011.12.15'],청소년,2011,12
1015,1015,1015,36,142,26,8.96,악인은 살아 있다 (Bad Man),0,91,['스릴러'],['2015.07.16'],청소년,2015,7
